acct_id,extenders,wireless_clients_count,wired_clients_count,rx_avg_bps,tx_avg_bps,rx_p95_bps,tx_p95_bps,rx_max_bps,tx_max_bps,rssi_mean,rssi_median,rssi_max,rssi_min,network_speed,Recommendation 1,Recommendation 2,Recommendation 3
Axgrav05,0,3,2,1849821.52,2229501.06,2652855.9,2243758.04,6606018.04,2390024.74,-68.3,-67,-65,-75,500.0M,Whole-Home WiFi,Premium Tech Pro,Fiber 7 Gig
srivatt18,1,13,6,531678.0632,317001.0684,1159275.247,330959.2,1947402.279,377451.7211,-50.2,-47,-38,-76,500.0M,Fiber 500,Fiber 5 Gig,Fiber 7 Gig
zoralah,1,9,3,265703.525,9632.466667,1250416.875,31802.21667,1880263.442,68332.65833,-55.8,-51,-28,-89,2000.0M,Fiber 500,Fiber 5 Gig,Fiber 7 Gig
aasthas23,0,3,3,1077447.533,414961.3333,1576694.567,423475.0667,1684422.417,424580.15,-60,-72,-14,-76,200.0M,Fiber 7 Gig,Fiber 1 Gig,Fiber 2 Gig
00008c39885815e42a0bb750cee199cd4da741a564570530cc38c3dc040f030c,1,19,7,608361.3462,478025.8692,1349913.154,655342.3538,2472541.677,1111928.538,-57.5,-57,-33,-86,1000.0M,Fiber 500,Fiber 5 Gig,Fiber 7 Gig
00009d9898eab1ea1d3669cd11ac257ccd98e1bc007e69d47f33a0f952293026,0,14,7,120511.1714,26147.01429,818567.1238,208691.8238,1801620.348,447748.1095,-63.1,-63,-43,-90,500.0M,Fiber 5 Gig,Fiber 7 Gig,Fiber 2 Gig
0000c415de5ceea33c02daa85a1c218ecca1b1c9e9864ed34d183597844de8e2,0,5,1,139912.05,10749.38333,1137377.017,58433.26667,2982684.967,328552.0667,-52.8,-51,-28,-71,500.0M,Fiber 5 Gig,Fiber 7 Gig,Fiber 2 Gig
0000df7211c711bf7bcf9ce4c98d92707de7ffde94efd38b2502a9ed2a8323a2,4,8,7,367778.0667,401091.28,1156184.16,438185.62,2128055.98,491691.8467,-56.9,-57,-31,-76,500.0M,Fiber 1 Gig,Fiber 2 Gig,Fiber 500
00010928ff5a664fdb4db0d2fa5d87bbab31f369123367310240b008bcff13a5,0,6,2,492651.1875,753529.8625,489972.7875,753595.425,888987.25,755823.525,-37.4,-38,-23,-47,500.0M,Fiber 7 Gig,Fiber 5 Gig,Premium Tech Pro
00010b900c4231f17a763e83a25471dc81ce6a92d12f567a74a957657531ef97,0,10,2,484189.3667,31065.775,1623703.825,91428.96667,4367182.108,1124266.875,-64.8,-68,-29,-87,1000.0M,Fiber 5 Gig,Fiber 7 Gig,Fiber 2 Gig
00012039856596ddf591abbc50c803b89d0207cbe72ad65634536a68e66823fe,3,20,8,246134.4036,12494.02857,1441141.35,37803.12143,2355003.95,527846.5857,-62.2,-62,-48,-80,1000.0M,Fiber 2 Gig,Fiber 1 Gig,Fiber 500
0001210ddee4854260d5f7b37e397fdfa698e1435630bc71520e9801b643182a,1,13,3,16805.075,12163.75,46800.95625,63521.20625,1115563.144,848608.1375,-54.9,-54,-16,-83,1000.0M,Fiber 500,Fiber 5 Gig,Fiber 7 Gig
00013e76021ddaa259545dc808e41780be01d5f9cf259010e6175d15468d5878,2,15,6,910400.6905,541665.3524,1750440.552,570656.4476,2890252.881,699558.319,-51.6,-53,-28,-79,2000.0M,Fiber 1 Gig,Fiber 500,Fiber 5 Gig
0001565bde88fcd742f771b559ea3b61453fe49452b7c29a2537cb718bb3c8f6,1,28,4,147514.1531,7835.271875,812221.9,35566.11875,2407313.709,75011.93125,-59.5,-61,-21,-86,1000.0M,Fiber 500,Fiber 5 Gig,Fiber 7 Gig
00015b36e378adaf1e926dc33b9462fd691bd69a68fdfe1819d34445f799a694,1,21,4,150945.56,8310.748,645342.084,32851.424,1499361.452,77942.912,-57,-57,-35,-89,1000.0M,Fiber 500,Fiber 5 Gig,Fiber 7 Gig
000195d32ddf1a26abc67f44f2dd3cd1a8b0911c1ecc5f6e00e7471e956001ca,1,15,6,30506.86667,1866.442857,139298.1667,6003.338095,769750.8905,64447.1,-59.5,-59,-36,-82,1000.0M,Fiber 500,Fiber 5 Gig,Fiber 7 Gig
00019f1459bdfbdae7d3d172c4a8b5bf01955e83ea18febafd8ecb2ecaef0704,0,18,1,413874.9526,4854.068421,1161072.9,13906.52632,1782036.6,48182.66842,-58.4,-60,-39,-82,1000.0M,Fiber 5 Gig,Fiber 7 Gig,Fiber 2 Gig
0001a64cffa0d32dd7e845b0b98f7213938d5a10c92f1900b1bf3acd5d98f657,1,28,6,242817.45,6839.635294,563472.2794,19349.84412,1247615.356,92813.00294,-54.6,-53,-28,-89,2000.0M,Fiber 500,Fiber 5 Gig,Fiber 7 Gig
0001a873967e40f919530e4348e47c401a3bacfaaa4d849fdeffa28b403b30c7,3,32,12,340310.6114,118346.4591,1150438.525,261089.4977,1737552.98,759426.1886,-59.2,-61,-26,-90,500.0M,Fiber 2 Gig,Fiber 1 Gig,Fiber 500
0001d055ccf674be365c774fa45efb1c0961928dc5b0941d5a74b04a4ba1f5c2,1,11,2,485102.9308,11825.96923,1126852.985,24939.33846,3019352,214242.3769,-57.1,-58,-31,-87,500.0M,Fiber 500,Fiber 5 Gig,Fiber 7 Gig
000213ac63999e61bbfd386a19f859e97e5573c92059de6ba4cc1c4f931eea58,0,2,2,353537.2,4209.675,1756522.25,15471.4,2293080.5,17645.05,-63.6,-69,-54,-71,500.0M,Fiber 5 Gig,Fiber 2 Gig,Fiber 7 Gig
00022ff42fc62b4dfd17b7093a1c39e7e700f811d6ce516ef6c99a75ec0ad479,1,6,4,891014.19,1201253.14,1212088.48,1211589.49,1947312.9,1251830.61,-55.8,-55,-32,-74,1000.0M,Whole-Home WiFi,Fiber 500,Fiber 7 Gig
00026bd5154ad79c7e3f47b747393df8b1f077fd5e50f4a145de950b4e8ea2cb,0,6,5,253671.3091,5671.127273,693603.6,16084.85455,3008398.145,45520.70909,-56.7,-57,-40,-93,500.0M,Fiber 5 Gig,Fiber 7 Gig,Fiber 2 Gig
0002788e5e198c551a999a8b24ce14941125d6ca8e11f2d33d4cbbfb8e947b12,0,18,-2,406589.7625,46035.95625,1034499.031,126303.7875,2718308,369590.8688,-46.1,-44,-28,-76,1000.0M,Fiber 5 Gig,Fiber 7 Gig,Fiber 2 Gig
00028319ac4f915f441452dae933db78ad5b0d3174493b2504c5ce9404a2f9fa,1,17,4,173744.0238,21591.37143,736337.9048,102001.7238,2351886.024,278767.4952,-64.5,-63,-38,-95,500.0M,Fiber 500,Fiber 5 Gig,Fiber 7 Gig
