acct_id,product,reason
Axgrav05,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
srivatt18,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
srivatt18,Whole-Home Wi-Fi,You have more than 10 connected devices.
zoralah,Whole-Home Wi-Fi,You have more than 10 connected devices.
aasthas23,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
00008c39885815e42a0bb750cee199cd4da741a564570530cc38c3dc040f030c,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
00008c39885815e42a0bb750cee199cd4da741a564570530cc38c3dc040f030c,Whole-Home Wi-Fi,You have more than 10 connected devices.
00009d9898eab1ea1d3669cd11ac257ccd98e1bc007e69d47f33a0f952293026,Whole-Home Wi-Fi,You have more than 10 connected devices.
0000df7211c711bf7bcf9ce4c98d92707de7ffde94efd38b2502a9ed2a8323a2,Whole-Home Wi-Fi,You have more than 10 connected devices.
00010b900c4231f17a763e83a25471dc81ce6a92d12f567a74a957657531ef97,Whole-Home Wi-Fi,You have more than 10 connected devices.
00012039856596ddf591abbc50c803b89d0207cbe72ad65634536a68e66823fe,Whole-Home Wi-Fi,You have more than 10 connected devices.
0001210ddee4854260d5f7b37e397fdfa698e1435630bc71520e9801b643182a,Whole-Home Wi-Fi,You have more than 10 connected devices.
00013e76021ddaa259545dc808e41780be01d5f9cf259010e6175d15468d5878,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
00013e76021ddaa259545dc808e41780be01d5f9cf259010e6175d15468d5878,Whole-Home Wi-Fi,You have more than 10 connected devices.
0001565bde88fcd742f771b559ea3b61453fe49452b7c29a2537cb718bb3c8f6,Whole-Home Wi-Fi,You have more than 10 connected devices.
00015b36e378adaf1e926dc33b9462fd691bd69a68fdfe1819d34445f799a694,Whole-Home Wi-Fi,You have more than 10 connected devices.
000195d32ddf1a26abc67f44f2dd3cd1a8b0911c1ecc5f6e00e7471e956001ca,Whole-Home Wi-Fi,You have more than 10 connected devices.
00019f1459bdfbdae7d3d172c4a8b5bf01955e83ea18febafd8ecb2ecaef0704,Whole-Home Wi-Fi,You have more than 10 connected devices.
0001a64cffa0d32dd7e845b0b98f7213938d5a10c92f1900b1bf3acd5d98f657,Whole-Home Wi-Fi,You have more than 10 connected devices.
0001a873967e40f919530e4348e47c401a3bacfaaa4d849fdeffa28b403b30c7,Whole-Home Wi-Fi,You have more than 10 connected devices.
0001d055ccf674be365c774fa45efb1c0961928dc5b0941d5a74b04a4ba1f5c2,Whole-Home Wi-Fi,You have more than 10 connected devices.
00022ff42fc62b4dfd17b7093a1c39e7e700f811d6ce516ef6c99a75ec0ad479,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
00026bd5154ad79c7e3f47b747393df8b1f077fd5e50f4a145de950b4e8ea2cb,Whole-Home Wi-Fi,You have more than 10 connected devices.
0002788e5e198c551a999a8b24ce14941125d6ca8e11f2d33d4cbbfb8e947b12,Whole-Home Wi-Fi,You have more than 10 connected devices.
00028319ac4f915f441452dae933db78ad5b0d3174493b2504c5ce9404a2f9fa,Whole-Home Wi-Fi,You have more than 10 connected devices.
0002e05241c29a395fbaee5df7c0e37d37e64b174a586dfdebbef05726d59a8d,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
0002e05241c29a395fbaee5df7c0e37d37e64b174a586dfdebbef05726d59a8d,Whole-Home Wi-Fi,You have more than 10 connected devices.
0002f1d4a1a8e635d98b48f2038bb61355ebc8833391a9669c7897eb7f6adf84,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
000310453daff50859283124b47e28f1fbefeae88943454634db828b4f0805a3,Whole-Home Wi-Fi,You have more than 10 connected devices.
00031b7e52352981c804c8f8b996cb1ddd00cbdbea02246b449d03788a1e76c7,Whole-Home Wi-Fi,You have more than 10 connected devices.
0003203bdf21a8bd26b9115ce1d311dca0ac65578f4f2d694035e2250c530b7f,Whole-Home Wi-Fi,You have more than 10 connected devices.
000322cab6379feb5e107d0610bc022c39ed1d9be7303025cabef354296f3ec0,Whole-Home Wi-Fi,You have more than 10 connected devices.
0003422a282f18f8b51c9e0d67c62be7c751133b1ce63f4299ad5b07774b775f,Whole-Home Wi-Fi,You have more than 10 connected devices.
00036a3af92651e4070900cf68a40826696e6cf99a4dc05894516ea0d9091c68,Whole-Home Wi-Fi,You have more than 10 connected devices.
0003712599e566d410fd8c8adff4a75cda7f966d3ce21ca96d6b618854eedbf4,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
0003f14b73721746d490a01f64bf5bfa7f1160ad644c08f6f6368e174e64d0ec,Whole-Home Wi-Fi,Your signal strength is weak; Whole-Home Wi-Fi can improve signal coverage.
000436b99a48945437b6ab02effdc4e3f27f53a69e75f98b88cfb925aed3c520,Whole-Home Wi-Fi,You have more than 10 connected devices.
0004395fd60ea96dd210bb0ad238925169dceeed7662f9c3e9a5bea405855f27,Whole-Home Wi-Fi,You have more than 10 connected devices.
00044da4b229b7cef68c7fd126055d244fca8d78a0c85cf459e510366f6f8a92,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
00044da4b229b7cef68c7fd126055d244fca8d78a0c85cf459e510366f6f8a92,Whole-Home Wi-Fi,You have more than 10 connected devices.
00046030a74407de295158d8f1434585988efc8619c8bc7e970276dce552d48c,Whole-Home Wi-Fi,Your signal strength is weak; Whole-Home Wi-Fi can improve signal coverage.
0004b5e7b8cd1bacd50e3b4df6fab359c037dd4eb5df7368098e4d8faa281215,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
0004ba5029431cb998a11972cb78bc9cc904538a5148306afb4bd8f567cd0d9b,Whole-Home Wi-Fi,You have more than 10 connected devices.
0004bcd01c08bfaaa6f105ea2f7c7cb8457523fe67082c37b6cfc537f5b0e854,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
0004c41e45302a67a6d77160ce81e8737c5842e06738f5a0138b18b7ac37217a,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
0004d39a1eae5f793694c2c3578238204acefec18ae56f3f32b1a02bc5f22055,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
0004d39a1eae5f793694c2c3578238204acefec18ae56f3f32b1a02bc5f22055,Whole-Home Wi-Fi,You have more than 10 connected devices.
000529f823553b7b2d0988a116d65d59bfc7473545f6b69027f74978a80cb35b,Whole-Home Wi-Fi,You have more than 10 connected devices.
000545eaa8c8a27b063441737f2def57fd781edbd9be2dcaee81c88ce661005e,Whole-Home Wi-Fi,You have more than 10 connected devices.
000547a4c18f593f487ac007ca854b8274d3385ce8851df9f740c32e6d485d98,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
000547a4c18f593f487ac007ca854b8274d3385ce8851df9f740c32e6d485d98,Whole-Home Wi-Fi,You have more than 10 connected devices.
00054ac4912e17bb90782ee06bdb4f8beb3bb2525525138d991364cc11928226,Whole-Home Wi-Fi,Your signal strength is weak; Whole-Home Wi-Fi can improve signal coverage.
0005662eb5b860331c1dc828171a60aad4b1102e7f439f9bc7211d0c7d39a5b0,Whole-Home Wi-Fi,You have more than 10 connected devices.
00056b6d79b45300273c4a9466a708126f86b73bfaaf14a63020538e8449dfe4,Whole-Home Wi-Fi,You have more than 10 connected devices.
0005bc766c93c21c069152d4c91aea2590cd0a69375e82de204cde9ba7168379,Whole-Home Wi-Fi,You have more than 10 connected devices.
0005c8e8c2a197aafdcb2a12278eeb77a89347f811a05a4997ac3904afeae909,Whole-Home Wi-Fi,You have more than 10 connected devices.
0005cb18674a5d64cb9be8198e85f267f23ed4fcab1381ed39e76f17820dae81,Whole-Home Wi-Fi,You have more than 10 connected devices.
00061c654ba4beea24266549519928538b8d64d70932c1b9c819c8ca85759490,Whole-Home Wi-Fi,You have more than 10 connected devices.
00064f41f0b2077d60a8ab8d0b3db0e0a3fc54e6f35b1f3db882c2a500b4aa05,Fiber 1 Gig,Your download speeds exceed 500 Mbps.
00065d16ee9925b4ba0db70e46c1c76917b8cdeaf16d3576af51be48191551c7,Whole-Home Wi-Fi,You have more than 10 connected devices.
